         17128 function calls (16968 primitive calls) in 88.684 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(release)
      160    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
        1    0.000    0.000    0.000    0.000 decoder.py:332(decode)
       40    0.000    0.000    0.000    0.000 context.py:366(get_spawning_popen)
        2    0.000    0.000    0.000    0.000 random.py:126(__init__)
        1    0.000    0.000    0.000    0.000 pathlib.py:870(is_dir)
       18    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        5    0.000    0.000    0.000    0.000 util.py:189(__init__)
       14    0.000    0.000    0.000    0.000 __init__.py:1790(isEnabledFor)
      148    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       99    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      105    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       34    0.000    0.000    0.000    0.000 {built-in method _winapi.LCMapStringEx}
       16    0.000    0.000    0.000    0.000 __init__.py:462(format)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
       13    0.000    0.000    0.000    0.000 _parser.py:265(getwhile)
        8    0.000    0.000    0.000    0.000 <frozen genericpath>:133(_splitext)
        1    0.000    0.000    0.000    0.000 pool.py:173(Pool)
       62    0.000    0.000    0.000    0.000 {built-in method nt.getpid}
        2    0.000    0.000    0.000    0.000 random.py:135(seed)
        6    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
        4    0.000    0.000    0.000    0.000 <frozen ntpath>:87(isabs)
       12    0.000    0.000    0.000    0.000 pool.py:633(_get_tasks)
        6    0.000    0.000    0.000    0.000 <frozen codecs>:319(decode)
        1    0.000    0.000    0.000    0.000 {built-in method nt._path_exists}
        8    0.000    0.000    0.000    0.000 reduction.py:71(duplicate)
        3    0.000    0.000    0.000    0.000 threading.py:1043(_set_tstate_lock)
       42    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
        3    0.000    0.000    0.000    0.000 {built-in method _winapi.ConnectNamedPipe}
        1    0.000    0.000    0.000    0.000 decoder.py:343(raw_decode)
       10    0.000    0.000    0.000    0.000 _compiler.py:216(_compile_charset)
        2    0.000    0.000    0.000    0.000 threading.py:1220(is_alive)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
        1    0.000    0.000    0.000    0.000 __init__.py:71(search_function)
        2    0.000    0.000    0.000    0.000 pathlib.py:420(_from_parsed_parts)
       16    0.000    0.000    0.000    0.000 context.py:372(assert_spawning)
       16    0.000    0.000    0.000    0.000 __init__.py:668(usesTime)
        4    0.000    0.000    0.000    0.000 process.py:153(is_alive)
       32    0.000    0.000    0.000    0.000 __init__.py:968(acquire)
       32    0.000    0.000    0.000    0.000 {method 'getbuffer' of '_io.BytesIO' objects}
        9    0.000    0.000    0.000    0.000 __init__.py:101(find_spec)
       16    0.000    0.000    0.000    0.000 __init__.py:455(_format)
        5    0.000    0.000    0.000    0.000 _parser.py:372(_escape)
       38    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       44    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      9/8    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
       17    0.000    0.000    0.000    0.000 pathlib.py:1164(__new__)
       32    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        8    0.000    0.000    0.000    0.000 queues.py:377(__getstate__)
       44    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
        2    0.000    0.000    0.000    0.000 _parser.py:98(closegroup)
        5    0.000    0.000    0.000    0.000 threading.py:1153(_wait_for_tstate_lock)
        1    0.000    0.000    0.000    0.000 pool.py:796(__init__)
       16    0.000    0.000    0.000    0.000 enum.py:713(__call__)
        1    0.000    0.000    0.000    0.000 {built-in method nt._path_isdir}
       49    0.000    0.000    0.000    0.000 _parser.py:256(match)
        4    0.000    0.000    0.000    0.000 threading.py:277(__init__)
       20    0.000    0.000    0.000    0.000 threading.py:1483(current_thread)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
       63    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
       32    0.000    0.000    0.000    0.000 __init__.py:975(release)
       53    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        3    0.000    0.000    0.000    0.000 {built-in method _winapi.CreateFile}
       13    0.000    0.000    0.000    0.000 pathlib.py:429(_format_parsed_parts)
        6    0.000    0.000    0.000    0.000 connection.py:131(__del__)
        7    0.000    0.000    0.000    0.000 _weakrefset.py:85(add)
        1    0.000    0.000    0.000    0.000 contextlib.py:567(__exit__)
       61    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        8    0.000    0.000    0.000    0.000 threading.py:302(__exit__)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
       16    0.000    0.000    0.000    0.000 __init__.py:447(usesTime)
        8    0.000    0.000    0.000    0.000 threading.py:299(__enter__)
        2    0.000    0.000    0.000    0.000 encoder.py:205(iterencode)
       20    0.000    0.000    0.000    0.000 popen_spawn_win32.py:70(<genexpr>)
       21    0.000    0.000    0.000    0.000 _parser.py:293(tell)
       66    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {function Random.seed at 0x000002657F01E2A0}
        1    0.000    0.000    0.000    0.000 __init__.py:1510(setLevel)
        1    0.000    0.000    0.000    0.000 subprocess.py:576(list2cmdline)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1295(exec_module)
       52    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
        2    0.000    0.000    0.000    0.000 {built-in method now}
        6    0.000    0.000    0.000    0.000 connection.py:277(_close)
        1    0.000    0.000    0.000    0.000 pool.py:747(__init__)
        6    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
        8    0.000    0.000    0.000    0.000 threading.py:314(_is_owned)
       25    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
        3    0.000    0.000    0.000    0.000 _compiler.py:391(_bytes_to_codes)
        9    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.000    0.000 __init__.py:1465(_clear_cache)
